token,date,entry_ms,exit_ms,reason,net,dkimchi,in_band
SUPER,2025-11-22,1763784000000,1763784359999,TP,53.84503242446922,-0.679660351957323,True
SUPER,2025-12-21,1766289600000,1766322299999,TP,46.94466878490205,1.1588596240069693,True
TAIKO,2025-07-18,1752811200000,1752851879999,TP,45.77603849132586,-0.3627958874194648,True
TAIKO,2025-07-21,1753070400000,1753146899999,TP,26.469700691395357,-0.39878903075298844,True
TAIKO,2025-08-04,1754280000000,1754378819999,TP,29.071325956022942,-0.39846117125241776,True
TAIKO,2025-08-17,1755403200000,1755480599999,TP,28.41906172454722,-0.2771391178053584,True
THETA,2025-11-30,1764475200000,1764547739999,TP,65.2658398114485,8.863501399011131,False
TOSHI,2025-12-07,1765080000000,1765095299999,TP,27.47427369970548,-0.02705428066813731,True
VANA,2025-10-27,1761537600000,1761630359999,TP,153.55405019901556,2.621496465712614,False
VTHO,2025-12-21,1766289600000,1766412000000,TIME,116.89275924931322,1.3712375144263822,True
W,2025-06-26,1750910400000,1750960199999,SL,-134.78454552355026,-0.12153534026362323,True
WAL,2025-09-02,1756785600000,1756908000000,TIME,-54.25125282159265,0.08881589913595223,True
WAXP,2025-04-19,1745035200000,1745148359999,TP,97.6811077358755,0.26466114071779234,True
ZETA,2025-01-19,1737259200000,1737274439999,TP,30.378284820169647,-0.2386126953032086,True
ZETA,2025-02-23,1740283200000,1740367319999,TP,51.90167596072227,0.07528838130699267,True
ZETA,2025-03-22,1742616000000,1742621279999,SL,-133.11264220181644,0.028319702163281946,True
ZORA,2025-11-13,1763006400000,1763084579999,TP,168.6427855144708,-0.10399107184095868,True
ZORA,2025-11-16,1763265600000,1763300699999,TP,61.681331060347375,0.5484433332159533,True
ZORA,2025-12-20,1766203200000,1766210219999,TP,28.629293026210856,-0.3708121712040935,True
ZRX,2025-12-30,1767067200000,1767189600000,TIME,-2.1162892233468256,6.502793527881412,False
