token,date,vp,gp,pp,entry_ms,exit_ms,reason,net
PUNDIX,2025-05-27,50,50,6,1748318400000,1748440800000,TIME,-10.333188068916717
PUNDIX,2025-06-07,50,50,9,1749268800000,1749391200000,TIME,-0.00012107879968237256
PUNDIX,2025-07-15,50,50,21,1752552000000,1752674400000,TIME,7.751347924895751
PUNDIX,2025-07-20,49,50,6,1752984000000,1753106400000,TIME,-26.41407204445379
PUNDIX,2025-10-11,50,50,23,1760155200000,1760277600000,TIME,-94.42756925034773
PYTH,2025-07-13,48,50,5,1752379200000,1752501600000,TIME,-21.592601606041576
QTUM,2025-10-08,50,50,11,1759896000000,1760018400000,TIME,-10.909132083772345
RED,2025-11-10,50,50,23,1762747200000,1762784219999,TP,32.17219739490807
RED,2025-12-04,50,50,20,1764820800000,1764893759999,TP,127.5740489142994
RLC,2025-08-27,50,50,7,1756267200000,1756300319999,TP,45.028861622344444
SAFE,2025-03-27,50,50,15,1743048000000,1743077759999,SL,-140.2322657182753
SAFE,2025-05-06,50,50,13,1746504000000,1746566879999,TP,96.67257659911525
SAFE,2025-05-23,50,50,10,1747972800000,1748001659999,TP,56.39052498655249
SAFE,2025-07-05,50,50,11,1751688000000,1751810400000,TIME,-42.555443365479654
SAFE,2025-07-14,50,50,30,1752465600000,1752519119999,TP,72.30872852496282
SAFE,2025-11-28,50,50,51,1764302400000,1764375479999,TP,126.38372066801972
SIGN,2025-12-01,50,50,34,1764561600000,1764684000000,TIME,-49.028125299650284
SONIC,2025-03-26,47,50,6,1742961600000,1743016559999,TP,33.244430905206436
SONIC,2025-04-23,50,50,11,1745380800000,1745503200000,TIME,40.48491567423436
SONIC,2025-07-12,50,50,12,1752292800000,1752324599999,TP,34.27071218656063
SONIC,2025-11-22,44,50,11,1763784000000,1763789999999,TP,44.7764038223492
STEEM,2025-03-25,50,50,12,1742875200000,1742997600000,TIME,6.91228296673582
STEEM,2025-04-27,50,50,15,1745726400000,1745798459999,TP,49.29451707017497
STEEM,2025-12-18,50,50,12,1766030400000,1766036219999,TP,30.356977436086627
STEEM,2025-12-25,50,50,6,1766635200000,1766705879999,TP,40.78673235215741
STX,2025-04-21,50,50,12,1745208000000,1745330400000,TIME,-92.18359173279282
SUPER,2025-10-16,50,50,26,1760587200000,1760629619999,TP,65.92925111796188
SUPER,2025-11-22,50,50,58,1763784000000,1763784359999,TP,53.84503242446922
SUPER,2025-12-21,50,50,15,1766289600000,1766322299999,TP,46.94466878490205
TAIKO,2025-07-18,50,50,10,1752811200000,1752851879999,TP,45.77603849132586
TAIKO,2025-07-21,50,50,11,1753070400000,1753146899999,TP,26.469700691395357
TAIKO,2025-08-04,50,50,8,1754280000000,1754378819999,TP,29.071325956022942
TAIKO,2025-08-17,50,50,5,1755403200000,1755480599999,TP,28.41906172454722
THETA,2025-11-30,50,50,25,1764475200000,1764547739999,TP,65.2658398114485
TOSHI,2025-12-07,50,50,8,1765080000000,1765095299999,TP,27.47427369970548
VANA,2025-10-27,50,50,14,1761537600000,1761630359999,TP,153.55405019901556
VTHO,2025-12-21,50,50,46,1766289600000,1766412000000,TIME,116.89275924931322
W,2025-06-26,50,50,6,1750910400000,1750960199999,SL,-134.78454552355026
WAL,2025-09-02,50,50,21,1756785600000,1756908000000,TIME,-54.25125282159265
WAXP,2025-04-19,50,50,28,1745035200000,1745148359999,TP,97.6811077358755
ZETA,2025-01-19,48,50,12,1737259200000,1737274439999,TP,30.378284820169647
ZETA,2025-02-23,40,32,5,1740283200000,1740367319999,TP,51.90167596072227
ZETA,2025-03-22,50,50,8,1742616000000,1742621279999,SL,-133.11264220181644
ZORA,2025-11-13,50,50,67,1763006400000,1763084579999,TP,168.6427855144708
ZORA,2025-11-16,47,50,19,1763265600000,1763300699999,TP,61.681331060347375
ZORA,2025-12-20,50,50,13,1766203200000,1766210219999,TP,28.629293026210856
ZRX,2025-12-30,50,50,49,1767067200000,1767189600000,TIME,-2.1162892233468256
