symbol,date,ref_entry,our_entry,entry_ok,ref_exit,our_exit,exit_ok,ref_reason,our_reason,reason_ok,ref_net,our_net,net_diff
TAIKOUSDT,2025-07-18,0.5275,0.5275,True,0.50077,0.50077,True,TP,TP,True,49.97142105118469,50.022985781990364,0.05156473080567281
TAIKOUSDT,2025-07-21,0.5449,0.5449,True,0.5278,0.5278,True,TP,TP,True,30.88329263442834,30.881904936685636,-0.001387697742703864
TAIKOUSDT,2025-08-04,0.4445,0.4445,True,0.4283,0.4283,True,TP,TP,True,35.603313703037095,35.197124319460045,-0.4061893835770505
TAIKOUSDT,2025-08-08,0.4778,0.4778,True,0.4916,0.4916,True,TIME_EXIT,TIME_EXIT,True,-30.154911410997233,-30.116457563834192,0.03845384716304068
TAIKOUSDT,2025-08-17,0.4635,0.4635,True,0.44847,0.44847,True,TP,TP,True,31.876867853290275,31.92718446601951,0.05031661272923671
TAIKOUSDT,2026-01-09,0.1904,0.1904,True,0.18104,0.18104,True,TP,TP,True,48.604466751575664,48.449433865546254,-0.15503288602941012
TAIKOUSDT,2026-01-26,0.2551,0.2551,True,0.18373,0.18373,True,TP,TP,True,270.1461776077757,257.4677681811054,-12.678409426670328
THETAUSDT,2026-04-04,0.1538,0.1538,True,0.1737939999999999,0.17379399999999998,True,SL,SL,True,-130.7999999999999,-130.7999999999999,0.0
TOSHIUSDT,2025-10-02,0.0007883,0.0007883,True,0.0008024,0.0008024,True,TIME_EXIT,TIME_EXIT,True,-18.352539328681928,-18.35883139921345,-0.006292070531522143
TOSHIUSDT,2025-12-07,0.00042,0.00042,True,0.00040623,0.00040623000000000005,True,TP,TP,True,30.726500106666613,27.942244285714214,-2.7842558209523993
TUSDT,2026-04-05,0.006388,0.006388,True,0.0061396,0.0061396,True,TP,TP,True,33.07237010378824,33.07217014401993,-0.00019995976830955442
VANAUSDT,2025-10-27,3.292,3.292,True,2.7916000000000003,2.7916000000000003,True,TP,TP,True,139.0106820201641,135.29467026731456,-3.716011752849539
VANAUSDT,2026-01-14,2.485,2.485,True,2.4103000000000003,2.4103000000000003,True,TP,TP,True,28.253895886025337,28.26528217303805,0.01138628701271216
VANAUSDT,2026-03-29,1.327,1.327,True,1.1983,1.1983,True,TP,TP,True,88.04436400006874,81.20510198944991,-6.839262010618825
VTHOUSDT,2025-12-21,0.001059,0.001059,True,0.0008975,0.0008975,True,TIME_EXIT,TIME_EXIT,True,117.54318176071772,114.95340071765825,-2.5897810430594603
VTHOUSDT,2026-02-12,0.0006541,0.0006541,True,0.0006018,0.0006018,True,TIME_EXIT,TIME_EXIT,True,71.92416151536469,69.53207308974167,-2.3920884256230153
VTHOUSDT,2026-02-22,0.0006668,0.0006668,True,0.0005974099999999,0.0005974099999999999,True,TP,TP,True,86.94088212327553,86.20577716256767,-0.7351049607078579
VTHOUSDT,2026-05-30,0.000567,0.000567,True,0.00064071,0.00064071,True,SL,SL,True,-134.70618237037027,-134.7089399999999,-0.002757629629627445
WALUSDT,2025-09-02,0.4068,0.4068,True,0.4248,0.4248,True,TIME_EXIT,TIME_EXIT,True,-53.19039584152315,-52.99080761061951,0.1995882309036361
WALUSDT,2026-01-09,0.1565,0.1565,True,0.14219,0.14219,True,TP,TP,True,81.89598331831816,79.00556968051112,-2.8904136378070433
WALUSDT,2026-03-18,0.0877,0.0877,True,0.082966,0.082966,True,TP,TP,True,52.734693126567905,51.66831548460664,-1.0663776419612674
WAXPUSDT,2026-03-10,0.006409,0.006409,True,0.006529,0.006529,True,TIME_EXIT,TIME_EXIT,True,-20.387016717241423,-21.26969983928855,-0.8826831220471263
WAXPUSDT,2026-03-20,0.007224,0.007224,True,0.00816312,0.00816312,True,SL,SL,True,-158.83239265503863,-158.61599999999987,0.21639265503876004
YGGUSDT,2026-02-21,0.05054,0.05054,True,0.04485,0.04485,True,TIME_EXIT,TIME_EXIT,True,78.92638055273449,69.35588180846855,-9.570498744265933
YGGUSDT,2026-03-15,0.042,0.042,True,0.039813,0.039813,True,TP,TP,True,48.903490449045265,47.0735185714286,-1.8299718776166642
ZETAUSDT,2026-04-05,0.05443,0.05443,True,0.049939,0.049939,True,TP,TP,True,65.96481502715051,65.65566541613086,-0.3091496110196488
ZETAUSDT,2026-04-17,0.06196,0.06196,True,0.05559,0.05559,True,TIME_EXIT,TIME_EXIT,True,68.51414251592641,69.2866833957392,0.7725408798127944
ZILUSDT,2026-01-12,0.00581,0.00581,True,0.00574,0.00574,True,TIME_EXIT,TIME_EXIT,True,2.056583917538683,1.7162027710842953,-0.3403811464543878
ZILUSDT,2026-03-18,0.00451,0.00451,True,0.0043479999999999,0.0043479999999999994,True,TP,TP,True,33.32135772412428,32.79038738359217,-0.5309703405321144
ZKCUSDT,2026-01-03,0.1235,0.1235,True,0.1185499999999999,0.11854999999999999,True,TP,TP,True,39.28097165991911,38.46097165991911,-0.8200000000000003
ZKPUSDT,2026-02-01,0.12047,0.12047,True,0.088277,0.088277,True,TP,TP,True,238.34028601702408,215.42928560720512,-22.911000409818968
ZKUSDT,2026-02-01,0.02671,0.02671,True,0.0301823,0.0301823,True,SL,SL,True,-135.03904661612867,-141.2374099999999,-6.198363383871225
ZORAUSDT,2025-11-13,0.06965,0.06965,True,0.056546,0.056546,True,TP,TP,True,164.92199134826998,152.276863517588,-12.645127830681986
ZORAUSDT,2025-11-16,0.05681,0.05681,True,0.052454,0.052454,True,TP,TP,True,61.763513053039944,61.522241436366826,-0.24127161667311725
ZORAUSDT,2025-12-20,0.04389,0.04389,True,0.042432,0.042432000000000004,True,TP,TP,True,30.76547216678044,30.76547216678045,1.0658141036401503e-14
ZORAUSDT,2026-02-01,0.0393,0.0393,True,0.02531,0.02531,True,TIME_EXIT,TIME_EXIT,True,315.96201774387026,281.8141037659033,-34.14791397796694
ZRXUSDT,2025-12-30,0.1613,0.1613,True,0.1456,0.1456,True,TIME_EXIT,TIME_EXIT,True,-1.9827186744110632,-0.7761100495970868,1.2066086248139762
