period,s_entry,s_exit,s_stop,n_trades,expectancy,ci_low,win_rate,pf,ann_return_pct,mdd_pct
IS_2026,0.15,0.15,0.3,180,25.04,13.47,76.7,2.23,108.93,2.66
IS_2026,0.15,0.15,0.5,180,24.77,12.39,76.7,2.2,107.78,2.7
IS_2026,0.15,0.15,0.75,180,24.44,12.76,76.7,2.17,106.35,2.75
IS_2026,0.15,0.15,1.0,180,24.11,11.33,76.7,2.14,104.91,2.8
IS_2026,0.15,0.2,0.05,180,25.17,12.97,76.7,2.26,109.52,2.61
IS_2026,0.15,0.2,0.1,180,25.11,12.15,76.7,2.25,109.24,2.62
IS_2026,0.15,0.2,0.2,180,24.97,13.67,76.7,2.23,108.66,2.64
IS_2026,0.15,0.2,0.3,180,24.84,12.68,76.7,2.22,108.09,2.66
IS_2026,0.15,0.2,0.5,180,24.58,12.06,76.7,2.19,106.94,2.7
IS_2026,0.15,0.2,0.75,180,24.25,12.16,76.7,2.16,105.51,2.75
IS_2026,0.15,0.2,1.0,180,23.92,11.53,76.7,2.12,104.07,2.8
IS_2026,0.15,0.3,0.05,180,24.79,12.95,76.7,2.23,107.84,2.63
IS_2026,0.15,0.3,0.1,180,24.72,12.58,76.7,2.22,107.56,2.64
IS_2026,0.15,0.3,0.2,180,24.59,11.89,76.7,2.21,106.98,2.66
IS_2026,0.15,0.3,0.3,180,24.46,12.66,76.7,2.19,106.41,2.68
IS_2026,0.15,0.3,0.5,180,24.19,12.45,76.7,2.17,105.26,2.72
IS_2026,0.15,0.3,0.75,180,23.86,12.04,76.7,2.13,103.83,2.77
IS_2026,0.15,0.3,1.0,180,23.53,11.42,76.7,2.1,102.39,2.82
IS_2026,0.2,0.05,0.05,180,25.35,13.0,76.7,2.27,110.31,2.6
IS_2026,0.2,0.05,0.1,180,25.29,14.34,76.7,2.27,110.02,2.61
IS_2026,0.2,0.05,0.2,180,25.15,11.9,76.7,2.25,109.45,2.63
IS_2026,0.2,0.05,0.3,180,25.02,12.69,76.7,2.24,108.88,2.65
IS_2026,0.2,0.05,0.5,180,24.76,12.69,76.7,2.21,107.73,2.69
IS_2026,0.2,0.05,0.75,180,24.43,12.6,76.7,2.17,106.29,2.74
IS_2026,0.2,0.05,1.0,180,24.1,11.97,76.7,2.14,104.86,2.79
IS_2026,0.2,0.1,0.05,180,25.16,13.56,76.7,2.26,109.47,2.61
IS_2026,0.2,0.1,0.1,180,25.09,13.24,76.7,2.25,109.18,2.62
IS_2026,0.2,0.1,0.2,180,24.96,12.34,76.7,2.24,108.61,2.64
IS_2026,0.2,0.1,0.3,180,24.83,12.84,76.7,2.22,108.04,2.66
IS_2026,0.2,0.1,0.5,180,24.57,12.64,76.7,2.19,106.89,2.7
IS_2026,0.2,0.1,0.75,180,24.24,12.19,76.7,2.16,105.45,2.75
IS_2026,0.2,0.1,1.0,180,23.91,11.66,76.7,2.13,104.02,2.8
IS_2026,0.2,0.15,0.05,180,24.97,12.62,76.7,2.25,108.63,2.62
IS_2026,0.2,0.15,0.1,180,24.9,12.98,76.7,2.24,108.34,2.63
IS_2026,0.2,0.15,0.2,180,24.77,13.41,76.7,2.22,107.77,2.65
IS_2026,0.2,0.15,0.3,180,24.64,12.19,76.7,2.21,107.2,2.67
IS_2026,0.2,0.15,0.5,180,24.37,12.72,76.7,2.18,106.05,2.71
IS_2026,0.2,0.15,0.75,180,24.04,12.24,76.7,2.15,104.61,2.76
IS_2026,0.2,0.15,1.0,180,23.71,11.65,76.7,2.11,103.18,2.81
IS_2026,0.2,0.2,0.05,180,24.77,12.19,76.7,2.23,107.79,2.62
IS_2026,0.2,0.2,0.1,180,24.71,13.14,76.7,2.23,107.5,2.63
IS_2026,0.2,0.2,0.2,180,24.58,12.24,76.7,2.21,106.93,2.65
IS_2026,0.2,0.2,0.3,180,24.44,12.06,76.7,2.2,106.36,2.67
IS_2026,0.2,0.2,0.5,180,24.18,12.09,76.7,2.17,105.21,2.71
IS_2026,0.2,0.2,0.75,180,23.85,12.76,76.7,2.14,103.77,2.76
IS_2026,0.2,0.2,1.0,180,23.52,10.95,76.7,2.1,102.34,2.81
IS_2026,0.2,0.3,0.05,180,24.39,11.94,76.1,2.21,106.11,2.64
IS_2026,0.2,0.3,0.1,180,24.32,12.34,76.1,2.2,105.82,2.65
IS_2026,0.2,0.3,0.2,180,24.19,12.7,76.1,2.19,105.25,2.67
IS_2026,0.2,0.3,0.3,180,24.06,11.92,76.1,2.17,104.68,2.69
IS_2026,0.2,0.3,0.5,180,23.79,10.77,76.1,2.14,103.53,2.73
IS_2026,0.2,0.3,0.75,180,23.46,11.47,76.1,2.11,102.09,2.78
IS_2026,0.2,0.3,1.0,180,23.13,10.38,76.1,2.08,100.66,2.83
IS_2026,0.3,0.05,0.05,180,24.14,11.95,76.1,2.18,105.05,2.58
IS_2026,0.3,0.05,0.1,180,24.08,12.44,76.1,2.17,104.75,2.59
IS_2026,0.3,0.05,0.2,180,23.94,13.24,76.1,2.16,104.15,2.62
IS_2026,0.3,0.05,0.3,180,23.8,11.99,76.1,2.15,103.55,2.65
IS_2026,0.3,0.05,0.5,180,23.52,10.65,76.1,2.12,102.35,2.71
IS_2026,0.3,0.05,0.75,180,23.18,11.03,76.1,2.08,100.85,2.78
IS_2026,0.3,0.05,1.0,180,22.83,11.21,76.1,2.05,99.34,2.86
IS_2026,0.3,0.1,0.05,180,23.95,12.9,76.1,2.17,104.23,2.58
IS_2026,0.3,0.1,0.1,180,23.89,12.34,76.1,2.16,103.93,2.6
IS_2026,0.3,0.1,0.2,180,23.75,12.23,76.1,2.15,103.32,2.63
IS_2026,0.3,0.1,0.3,180,23.61,11.56,76.1,2.13,102.72,2.66
IS_2026,0.3,0.1,0.5,180,23.33,11.45,76.1,2.11,101.52,2.72
IS_2026,0.3,0.1,0.75,180,22.99,11.2,76.1,2.07,100.02,2.79
IS_2026,0.3,0.1,1.0,180,22.64,9.8,76.1,2.04,98.51,2.86
IS_2026,0.3,0.15,0.05,180,23.76,11.85,76.1,2.16,103.4,2.59
IS_2026,0.3,0.15,0.1,180,23.7,11.05,76.1,2.15,103.1,2.6
IS_2026,0.3,0.15,0.2,180,23.56,11.39,76.1,2.13,102.5,2.63
IS_2026,0.3,0.15,0.3,180,23.42,10.69,76.1,2.12,101.89,2.66
IS_2026,0.3,0.15,0.5,180,23.14,11.52,76.1,2.09,100.69,2.72
IS_2026,0.3,0.15,0.75,180,22.8,10.54,76.1,2.06,99.19,2.79
IS_2026,0.3,0.15,1.0,180,22.45,10.59,76.1,2.03,97.69,2.87
IS_2026,0.3,0.2,0.05,180,23.57,12.08,75.6,2.14,102.57,2.6
IS_2026,0.3,0.2,0.1,180,23.5,11.27,75.6,2.14,102.27,2.61
IS_2026,0.3,0.2,0.2,180,23.37,10.89,75.6,2.12,101.67,2.64
IS_2026,0.3,0.2,0.3,180,23.23,10.48,75.6,2.11,101.07,2.67
IS_2026,0.3,0.2,0.5,180,22.95,11.34,75.6,2.08,99.86,2.73
IS_2026,0.3,0.2,0.75,180,22.61,10.86,75.6,2.05,98.36,2.8
IS_2026,0.3,0.2,1.0,180,22.26,10.64,75.6,2.02,96.86,2.87
IS_2026,0.3,0.3,0.05,180,23.19,11.04,75.0,2.12,100.91,2.61
IS_2026,0.3,0.3,0.1,180,23.12,10.98,75.0,2.11,100.61,2.62
IS_2026,0.3,0.3,0.2,180,22.99,9.99,75.0,2.1,100.01,2.65
IS_2026,0.3,0.3,0.3,180,22.85,10.67,75.0,2.08,99.41,2.68
IS_2026,0.3,0.3,0.5,180,22.57,9.8,75.0,2.06,98.21,2.74
IS_2026,0.3,0.3,0.75,180,22.23,9.61,75.0,2.02,96.71,2.81
IS_2026,0.3,0.3,1.0,180,21.88,9.95,75.0,1.99,95.2,2.89
OOS_2025,0.05,0.05,0.05,171,16.34,4.59,71.9,1.72,27.95,3.94
OOS_2025,0.05,0.05,0.1,171,16.27,4.83,71.9,1.71,27.82,3.96
OOS_2025,0.05,0.05,0.2,171,16.12,4.73,71.9,1.7,27.56,4.01
OOS_2025,0.05,0.05,0.3,171,15.96,4.82,71.9,1.69,27.3,4.05
OOS_2025,0.05,0.05,0.5,171,15.66,3.69,71.9,1.67,26.78,4.14
OOS_2025,0.05,0.05,0.75,171,15.28,4.1,71.9,1.64,26.13,4.26
OOS_2025,0.05,0.05,1.0,171,14.9,2.79,71.9,1.62,25.48,4.37
OOS_2025,0.05,0.1,0.05,171,16.18,4.84,70.2,1.71,27.67,3.96
OOS_2025,0.05,0.1,0.1,171,16.11,3.89,70.2,1.7,27.54,3.99
OOS_2025,0.05,0.1,0.2,171,15.95,4.45,70.2,1.69,27.28,4.03
OOS_2025,0.05,0.1,0.3,171,15.8,3.63,70.2,1.68,27.02,4.08
OOS_2025,0.05,0.1,0.5,171,15.5,3.85,70.2,1.66,26.5,4.17
OOS_2025,0.05,0.1,0.75,171,15.12,3.04,70.2,1.63,25.85,4.28
OOS_2025,0.05,0.1,1.0,171,14.74,2.67,70.2,1.61,25.2,4.4
OOS_2025,0.05,0.15,0.05,171,16.02,4.83,70.2,1.7,27.39,3.99
OOS_2025,0.05,0.15,0.1,171,15.94,4.28,70.2,1.69,27.26,4.01
OOS_2025,0.05,0.15,0.2,171,15.79,3.84,70.2,1.68,27.0,4.06
OOS_2025,0.05,0.15,0.3,171,15.64,4.41,70.2,1.67,26.74,4.1
OOS_2025,0.05,0.15,0.5,171,15.33,3.51,70.2,1.65,26.22,4.19
OOS_2025,0.05,0.15,0.75,171,14.95,3.69,70.2,1.62,25.57,4.31
