symbol,token,date,vp,gp,pp,start_price,entry_price,exit_price,sl_price,tp_price,actual_growth,exit_reason,exit_ms,gross_ret,funding_ret,funding_events,net_ret,net_ret_usdt
DEEPUSDT,DEEP,2025-07-14,40,40,5,0.17094,0.18421,0.18883,0.2081573,0.172267,0.07762957762957767,TIME_EXIT,1752588000000,-0.025080071657347512,-0.00128039,9,-0.02716046165734751,-27.16046165734751
DEEPUSDT,DEEP,2026-05-09,40,40,33,0.03304,0.0376,0.03633,0.042488,0.033496,0.13801452784503643,TIME_EXIT,1778421600000,0.03377659574468086,-0.00434303,9,0.028633565744680855,28.633565744680855
DOODUSDT,DOOD,2025-12-07,40,40,17,0.004828,0.005586,0.0049038,0.006312179999999999,0.0049038,0.1570008285004143,TP,1765116299999,0.12212674543501612,-0.01794376,11,0.10338298543501612,103.38298543501611
DOODUSDT,DOOD,2026-01-02,40,40,11,0.005566,0.005912,0.005797,0.0066805599999999995,0.0056006,0.06216313330937839,TIME_EXIT,1767448800000,0.0194519621109607,-0.00396098,9,0.0146909821109607,14.6909821109607
DOODUSDT,DOOD,2026-03-13,40,40,7,0.002846,0.002997,0.00338661,0.00338661,0.0028611,0.05305692199578349,SL,1773403919999,-0.12999999999999995,-0.00017336,3,-0.13097335999999996,-130.97335999999996
EDGEUSDT,EDGE,2026-04-03,40,22,14,0.7798,0.8116,0.9171079999999999,0.9171079999999999,0.78298,0.04077968709925606,SL,1775205599999,-0.12999999999999992,0.00014446,2,-0.1306555399999999,-130.65553999999992
EGLDUSDT,EGLD,2025-12-05,40,40,17,7.158,7.427,8.392509999999998,8.392509999999998,7.184900000000001,0.037580329701033754,SL,1764946979999,-0.12999999999999978,-0.0019673,1,-0.13276729999999978,-132.76729999999978
EGLDUSDT,EGLD,2026-01-10,40,40,15,6.253,6.506,6.2783,7.35178,6.2783,0.040460578922117296,TP,1768091819999,0.03499846295727028,-0.00203016,3,0.03216830295727027,32.16830295727027
EGLDUSDT,EGLD,2026-02-01,40,28,13,4.732,4.887,4.7475000000000005,5.522309999999999,4.7475000000000005,0.03275570583262888,TP,1769948699999,0.028545119705340512,7.105e-05,1,0.027816169705340513,27.816169705340513
ELSAUSDT,ELSA,2026-03-30,40,24,9,0.05916,0.06312,0.06549,0.07132559999999999,0.059556,0.06693711967545646,TIME_EXIT,1774965600000,-0.03754752851711044,-0.00218838,9,-0.04053590851711045,-40.53590851711045
ENSUSDT,ENS,2026-05-30,40,40,15,5.86,6.039,5.8779,6.824069999999999,5.8779,0.030546075085324143,TP,1780221599999,0.026676602086438045,-0.00041219,4,0.025464412086438046,25.464412086438045
ENSOUSDT,ENSO,2026-04-24,40,40,6,0.7802,0.8205,0.78423,0.9271649999999999,0.78423,0.05165342219943603,TP,1777077059999,0.04420475319926877,-0.00360546,6,0.03979929319926877,39.79929319926877
