vp,gp,pp,sl,tp,n_trades,expectancy_usdt,expectancy_pct,ci_low,ci_high,win_rate,avg_win,avg_loss,profit_factor,peak_concurrent,total_net,max_dd_pct,cagr_pct,calmar,sharpe,sortino,n_tp,n_sl,n_time,eligible
20,10,3,11,95,248,18.957291933695537,1.8957291933695535,9.713506322455995,28.457048914466313,72.98387096774194,55.15588558453031,-78.832938675276,1.890113647916735,6,4701.408399556493,5.167918080163594,304.96929275879216,59.01202148102513,5.6045805726904305,15.122346896565382,114,38,96,True
20,10,3,12,45,250,10.84215755766947,1.084215755766947,2.8853689662954003,17.894220731841497,84.39999999999999,32.2023248219298,-104.72182430794413,1.6636726436381264,6,2710.5393894173676,7.3924806190666175,146.2253094872179,19.78027634053919,4.954795664954863,8.66107697665589,209,29,12,True
20,10,3,12,75,250,19.470469027816858,1.9470469027816857,9.70579782462453,28.448658359817504,76.8,51.18621012806407,-85.51957047644979,1.9813477195589841,7,4867.617256954214,4.7902449526546755,258.2488435216804,53.91140663455281,6.417634188786432,12.843209616249002,157,33,60,True
20,10,3,12,90,249,21.147039865989136,2.1147039865989137,10.992779224281295,30.72914732311476,75.1004016064257,55.23231922460088,-81.65856078014626,2.0400531180163366,7,5265.612926631295,3.95262444316673,287.98345171910364,72.85879441872284,6.268818290037077,14.334365877055626,128,33,88,True
20,10,3,12,95,248,21.317470700893306,2.1317470700893306,11.367653452425008,30.26682317574051,74.59677419354838,55.95704842912709,-80.40192421534873,2.0437112472032393,7,5286.73273382154,3.95262444316673,289.6002636844562,73.26784212578433,6.1785298553265235,15.5998875923975,116,33,99,True
20,10,3,13,45,250,11.203894981023378,1.1203894981023377,3.8751141608776667,18.258941455488156,84.8,32.19109081267582,-105.8825659745113,1.6961470448233513,6,2800.9737452558447,7.176198931280546,152.45010301266925,21.243851302414427,4.848600120606778,7.676168994903227,210,25,15,True
20,10,3,13,75,250,19.796491820039563,1.9796491820039563,10.01183346729229,28.62942087594369,77.2,51.23658239204967,-86.65855169571397,2.001940568010206,7,4949.122955009891,4.924029977505749,264.22518768617323,53.66035318493646,6.357125959428722,12.924460397102141,158,29,63,True
20,10,3,13,90,249,21.469097475040382,2.146909747504038,11.601190714834285,31.338552655450734,75.50200803212851,55.25552339721134,-82.65955946542093,2.060205892156255,7,5345.805271285055,4.740194093439635,294.1434697067175,62.05304337934349,6.225723373534519,13.485890207063147,128,29,92,True
20,10,3,13,95,248,21.64082692933588,2.164082692933588,12.145930906194943,31.007532033580645,75.0,55.97660571539719,-81.36650942884802,2.0638690085758187,7,5366.9250784752985,4.574615218720949,295.7752701274753,64.6557701546259,6.13230568317838,14.963722584285602,116,29,103,True
20,10,3,14,45,250,10.938229415960675,1.0938229415960674,3.507346292783042,18.97615301958724,84.8,32.19109081267582,-107.63036574466068,1.6686034664421838,6,2734.557353990169,7.67402382061121,147.8696350797445,19.26885276047621,4.8608538267398185,6.588166672693802,210,23,17,True
20,10,3,14,75,250,19.355041701167345,1.9355041701167344,9.941531882498978,29.201227932873554,77.2,51.23658239204967,-88.59473642760965,1.958189359775492,7,4838.760425291836,5.316358443635086,256.1468221072028,48.18087885211539,6.300634794006959,11.928910608248074,158,27,65,True
