V,G,sl,tp,n_trades,expectancy_usdt,expectancy_pct,ci_low,ci_high,win_rate,avg_win,avg_loss,profit_factor,peak_concurrent,total_net,max_dd_pct,cagr_pct,calmar,sharpe,sortino,n_tp,n_sl,n_time,eligible
3,5,9,75,277,1.8726025117658096,0.18726025117658096,-4.085241166723961,8.5998501373957,64.62093862815884,35.393669873258524,-59.354653179123936,1.0891752885506605,10,518.7108957591292,7.695706167878162,13.002540596149203,1.6895838162872876,1.046989705709026,1.7813201361273125,137,55,85,True
3,5,9,90,277,2.825170717854454,0.2825170717854454,-3.343322334639979,9.180709432070802,63.1768953068592,38.353559167013046,-58.1303976998196,1.1319839128100124,11,782.5722888456838,6.265477471237822,18.07222732655356,2.8844134241190034,1.5411574220123105,2.6503746554498417,104,56,117,True
3,5,9,95,277,3.006249820790567,0.3006249820790567,-3.3051566424354135,10.001506752960942,62.8158844765343,38.907534322480466,-57.642522055850634,1.1402570298310455,11,832.731200358987,6.86989810674673,19.29088169122448,2.8080302489900775,1.6274156899393426,2.836666231178266,93,56,128,True
3,5,10,45,277,1.091233603997909,0.1091233603997909,-4.37000745981122,6.157732463594731,75.45126353790613,23.441422882082627,-67.60273050070364,1.065754328975591,6,302.2717083074208,12.482172528918682,12.615362415019327,1.0106704090006824,0.7078346922459693,1.1899412379147374,202,39,36,True
3,5,10,75,277,1.4741242594693187,0.14741242594693188,-5.401005006927205,7.714810337426036,64.98194945848375,35.39449933849425,-61.470901660370764,1.0684813865146894,10,408.3324198730013,7.66600360815286,10.157494195639206,1.3250051415103201,0.7952911265421208,1.3057465736370641,138,49,90,True
3,5,10,90,277,2.2967552894671712,0.22967552894671714,-3.880290205393395,8.846524908716615,63.537906137184116,38.18992744355581,-60.249762523598186,1.1045484939468753,11,636.2012151824064,7.161386514208287,14.557872963580687,2.0328288292633934,1.2078642606669576,2.0004594336312924,104,50,123,True
3,5,10,95,277,2.4778343924032837,0.2477834392403284,-4.518791012506811,9.131540379672343,63.1768953068592,38.73980198828652,-59.73632569857286,1.1126453756783152,11,686.3601266957096,7.0244726473754575,15.755173213756745,2.242897652913963,1.295700408307388,2.13772147547914,93,50,134,True
3,5,11,45,277,0.52262320644242,0.052262320644241994,-5.332261010661404,5.774592562251596,75.81227436823104,23.427776492524057,-71.26964828724627,1.0303171966605549,6,144.76662818455034,14.013549767516242,5.93225729575555,0.42332295486662985,0.3295159722598637,0.5506054089871228,203,36,38,True
3,5,11,75,277,1.718585739645688,0.1718585739645688,-4.717147713034725,8.776860306735967,65.70397111913357,35.32506878171154,-62.66436071989101,1.0799662543703583,10,476.0482498818556,8.524753085141368,11.897851355669008,1.3956828117880558,0.9186234653748155,1.453954445598262,139,43,95,True
3,5,11,90,277,2.5308240874230625,0.25308240874230625,-4.0142461499616875,9.168165024124376,64.25992779783394,38.12755671029936,-61.47138204259695,1.1151949807138455,11,701.0382722161883,7.957266478117614,16.106923674830043,2.02417799116366,1.3172543370014251,2.144059760665761,105,44,128,True
3,5,11,95,277,2.7204774707742496,0.27204774707742496,-4.501640183639525,9.564395666529466,63.898916967509024,38.684284112952426,-60.93546028588113,1.1236672794246656,11,753.5722594044671,7.824298700298983,17.37099140481977,2.2201339788006798,1.4117915230597422,2.302193157527458,94,44,139,True
3,5,12,45,277,0.6505103501635446,0.06505103501635447,-4.972244273675561,5.931451317146661,75.81227436823104,23.427776492524057,-70.74092084230968,1.0380179301593297,6,180.19136699530188,12.280411786843569,7.414493330204874,0.603765855648935,0.4077982223665541,0.6229083573924921,203,30,44,True
