symbol,date,vp,gp,pp,entry_price,exit_price,exit_reason,funding_ret,funding_events,net_ret_usdt
NEWTUSDT,2025-07-29,47,47,14,0.4125,0.38613,TP,-0.005640571132121212,2,57.48670159515153
NEWTUSDT,2025-09-04,49,50,3,0.2812,0.26338,TP,-0.01118965818278805,2,51.38160782005691
NEWTUSDT,2026-02-25,47,50,6,0.06866,0.06721,TIME_EXIT,-0.000780937130789397,8,19.53761806874444
ONGUSDT,2025-08-25,46,50,5,0.20629,0.191719,TP,-0.02952218408017839,5,40.31139001454264
ONGUSDT,2026-01-27,50,50,33,0.09385,0.08251,TP,-0.03522663228556206,6,84.80448119339376
ONGUSDT,2026-03-30,30,38,13,0.06072,0.06032,TIME_EXIT,-0.037361807814558626,9,-31.574192531291096
ONGUSDT,2026-05-05,50,50,5,0.07576,0.073627,TP,-0.0003089232180570222,6,27.04577583157334
ONGUSDT,2026-05-19,50,50,3,0.06728,0.06724,TIME_EXIT,-0.0009025937232461355,9,-1.1080634021995803
ONTUSDT,2025-08-25,50,50,14,0.1931,0.21820299999999998,SL,-0.011609999875712066,1,-142.40999987571197
ONTUSDT,2026-01-06,48,50,5,0.0676,0.0657,TIME_EXIT,-0.009385938239644972,8,17.92057063609466
ONTUSDT,2026-01-27,50,50,13,0.0621,0.058499999999999996,TP,-0.011034745152979065,2,46.13626933977465
ONTUSDT,2026-02-24,45,30,3,0.0416,0.040069999999999995,TP,0.0,0,35.978846153846234
ONTUSDT,2026-05-19,50,50,7,0.0648,0.058769999999999996,TP,-0.027203305817901237,6,65.05224973765434
OPENUSDT,2025-10-03,50,50,16,0.4863,0.549519,SL,0.0,0,-130.79999999999993
OPENUSDT,2025-11-08,50,50,14,0.301,0.29011,TP,-0.006154956285714287,3,29.224445707641227
OPENUSDT,2025-11-24,50,50,22,0.2584,0.2396,TIME_EXIT,-0.010383622082043343,8,61.571795874613045
OPENUSDT,2025-12-30,50,50,19,0.1723,0.16258,TP,-0.0007013113639001741,6,54.91192136970403
ORCAUSDT,2025-08-28,50,50,4,2.347,2.2822,TP,0.0002907035193864508,6,27.10041804857263
ORCAUSDT,2026-01-05,50,50,14,1.239,1.213,TIME_EXIT,-0.026995434761904757,9,-6.810769709443075
ORCAUSDT,2026-02-17,50,50,34,1.021,1.1537299999999997,SL,-0.03685650885406465,5,-167.65650885406447
ORCAUSDT,2026-05-07,42,35,12,1.667,1.559,TIME_EXIT,-0.0199147599940012,9,44.07228259748056
ORDERUSDT,2025-11-22,48,50,22,0.10994,0.106709,TP,0.0,0,28.588757504093124
ORDERUSDT,2026-03-22,50,50,16,0.05939,0.05989,TIME_EXIT,-0.03389114887018017,30,-43.1100746152551
ORDERUSDT,2026-04-06,50,50,19,0.05749,0.05128,TIME_EXIT,-0.032749671194990435,9,74.46911468081406
ORDERUSDT,2026-04-08,33,35,16,0.06477,0.06026,TIME_EXIT,-0.034496024607071185,9,34.33497740003077
ORDERUSDT,2026-04-14,50,50,13,0.06068,0.06285,TIME_EXIT,-0.005314782732366513,8,-41.87615385959139
ORDERUSDT,2026-05-05,50,50,10,0.05972,0.057596,TP,-0.00027934831547220365,1,34.48662623241797
PLUMEUSDT,2026-01-25,32,50,7,0.01608,0.015567,TP,-0.0007971649502487563,3,30.30582012437819
PLUMEUSDT,2026-04-13,50,50,5,0.01051,0.010185999999999999,TP,-0.000807149457659372,1,29.22063360608957
POLYXUSDT,2025-07-28,50,50,11,0.16775,0.162386,TP,-0.00010487923397913558,2,31.071275758569346
POLYXUSDT,2025-12-22,50,50,16,0.05532,0.0625116,SL,-0.002676668438177874,1,-133.47666843817785
POLYXUSDT,2026-04-04,50,50,25,0.05473,0.04836,TIME_EXIT,-0.07232798031061576,9,43.261568382970964
POLYXUSDT,2026-05-15,50,50,10,0.06207,0.05523,TP,-0.013601212917673595,3,95.79695044627033
POWRUSDT,2025-07-14,40,40,12,0.1857,0.17931,TP,0.00014827679052234786,3,33.758616047388294
POWRUSDT,2026-04-26,50,50,3,0.06699,0.064713,TP,-0.0003307446409911928,7,32.85940314225985
PRLUSDT,2026-05-05,50,50,19,0.2999,0.26911999999999997,TP,-0.004165972694231411,5,97.66823870956996
PRLUSDT,2026-05-27,50,36,13,0.1694,0.16058,TP,-0.005751456623376622,1,45.514659079102685
PROVEUSDT,2025-08-22,32,32,5,1.1203,1.1139,TIME_EXIT,-0.0019275725850218693,9,2.9851829268947445
PROVEUSDT,2025-09-10,34,50,6,0.9306,0.9317,TIME_EXIT,-0.00545482738878143,9,-7.4368604857081335
PROVEUSDT,2025-09-28,50,50,8,0.7536,0.72966,TP,-0.004011227473460721,2,26.956288450106257
PUNDIXUSDT,2025-06-07,50,50,9,0.3231,0.3212,TIME_EXIT,-0.004085947016403591,8,0.9945853265243345
PUNDIXUSDT,2025-07-10,47,47,4,0.3136,0.3254,TIME_EXIT,5.84494642857143e-05,9,-38.36910155612255
PUNDIXUSDT,2025-07-15,50,50,21,0.3483,0.3429,TIME_EXIT,-0.005970360307206431,9,8.73351566178586
PUNDIXUSDT,2025-07-20,49,50,6,0.3558,0.3643,TIME_EXIT,-0.0006895336424957842,9,-25.379359387296255
PUNDIXUSDT,2025-10-11,50,50,23,0.2684,0.2928,TIME_EXIT,-0.0015894281929955288,8,-93.29851910208633
PYTHUSDT,2025-07-13,48,50,5,0.12007,0.12249,TIME_EXIT,0.00039124778046139755,9,-20.56366185558429
QTUMUSDT,2025-08-23,31,50,15,2.668,2.865,TIME_EXIT,-0.0012577521814092951,4,-75.89583314092954
QTUMUSDT,2025-10-08,50,50,11,2.256,2.259,TIME_EXIT,-0.007772693209219858,4,-9.902480443262462
QTUMUSDT,2026-01-06,50,50,14,1.517,1.454,TP,-0.002469637547791694,2,38.25969666446931
REDUSDT,2025-11-10,50,50,23,0.3459,0.33348,TP,-0.0015595455969933507,3,33.54678571263367
REDUSDT,2025-12-04,50,50,20,0.3206,0.27812,TP,-0.01582764768870867,3,115.87391188708676
REDUSDT,2026-02-27,50,50,22,0.1835,0.16325,TP,-0.006426335989100818,3,103.12788744414163
REDUSDT,2026-04-24,45,50,15,0.1462,0.13522,TP,-0.009717705054719562,5,64.58489412448695
RLCUSDT,2025-08-27,50,50,7,1.0874,1.03529,TP,-0.001469377395622586,1,45.652270572006515
RVNUSDT,2026-03-17,50,50,36,0.00638,0.005831,TP,-0.006844005501567397,6,78.40615123824452
RVNUSDT,2026-04-25,50,50,11,0.00621,0.005985,TP,-0.0007673063768115942,2,34.66457768115948
SAFEUSDT,2025-07-05,50,50,11,0.4256,0.4329,TIME_EXIT,-0.023566469544172935,9,-41.518725183270746
SAFEUSDT,2025-07-14,50,50,30,0.5332,0.49207,TP,-0.0013728676162790697,3,74.9651668923481
SAFEUSDT,2025-08-13,38,50,4,0.467,0.45314,TP,0.00035139186295503214,7,29.230192719486165
SAFEUSDT,2025-09-12,50,50,4,0.4634,0.4629,TIME_EXIT,0.0004501186879585672,9,0.7291001294777741
SAFEUSDT,2025-11-28,50,50,51,0.1795,0.16483,TP,-0.0037022138272980497,2,77.22480567130914
SAFEUSDT,2025-12-29,34,46,3,0.1477,0.14032,TP,0.0001675001421800948,5,49.33364773865943
SAFEUSDT,2026-01-15,37,50,24,0.1907,0.16702999999999998,TP,-0.01845973962244363,6,104.86191743051927
SAFEUSDT,2026-01-18,50,50,27,0.2124,0.18639,TP,-0.007425097099811676,6,114.23253001883242
SAHARAUSDT,2026-01-29,50,50,17,0.02606,0.024845,TP,0.0,0,45.82317728319266
SAHARAUSDT,2026-02-25,50,50,7,0.01532,0.01496,TIME_EXIT,-0.00028252515013054834,8,22.416169366840794
SAHARAUSDT,2026-03-09,36,27,10,0.02331,0.02479,TIME_EXIT,-0.09149753912054912,34,-155.78960261261255
SIGNUSDT,2026-01-05,50,50,14,0.03988,0.03908,TIME_EXIT,-0.001066105117853561,9,18.19407542377137
SIGNUSDT,2026-02-28,50,50,26,0.03118,0.025024,TP,-0.002272609265554843,6,194.3616434605516
SKRUSDT,2026-03-01,50,50,19,0.022691,0.0218648,TP,-0.0019040789405491165,16,33.706832874708
SKRUSDT,2026-03-07,39,50,22,0.024779,0.0233615,TP,-0.00818060547600791,7,48.22509289761486
SKRUSDT,2026-05-13,50,50,4,0.017124,0.0165462,TP,0.00014771665498715253,3,33.0898329829479
SOMIUSDT,2026-01-03,50,50,4,0.2624,0.25493,TP,0.0,0,27.66798780487817
SOMIUSDT,2026-01-28,46,47,18,0.2674,0.302162,SL,-0.0023351164061331336,1,-133.13511640613297
SOMIUSDT,2026-02-04,36,39,14,0.211,0.20146,TP,-0.0005492315213270142,2,43.86403862085305
SOMIUSDT,2026-04-26,50,50,33,0.2113,0.18384999999999999,TP,-0.002194837387600568,2,126.9152430667298
SONICUSDT,2025-07-12,50,50,12,0.2322,0.22338,TP,-0.0012929650086132645,3,35.89153111541772
SONICUSDT,2025-11-22,44,50,11,0.0902,0.08642,TP,0.0,0,41.10687361419075
SONICUSDT,2026-02-09,50,50,11,0.04108,0.039928000000000005,TP,-0.0002783509639727361,2,26.964492268743754
SONICUSDT,2026-02-18,50,50,17,0.05225,0.046472,TP,-0.0008219433588516745,4,108.96178869856458
SONICUSDT,2026-03-17,50,50,6,0.0465,0.044997,TP,-0.006566699864516129,8,24.955880780645103
SONICUSDT,2026-05-10,50,50,9,0.04294,0.048522199999999995,SL,-0.013099232810898927,6,-143.8992328108988
SONICUSDT,2026-05-17,33,34,3,0.04085,0.039761000000000005,TP,-0.000590604993880049,3,25.26790173806592
SOPHUSDT,2026-01-04,50,50,8,0.014123,0.013196000000000001,TP,-0.0007518127033916308,6,64.08579970190463
SOPHUSDT,2026-02-28,31,50,8,0.009766,0.0090784,TP,-0.013012966004505428,1,56.59457034609871
STEEMUSDT,2025-12-18,50,50,12,0.06507,0.06270300000000001,TP,0.0,0,35.5762102351313
STEEMUSDT,2025-12-25,50,50,6,0.06776,0.06457399999999999,TP,-0.002145682815820543,4,44.07320738488796
STEEMUSDT,2026-01-27,50,50,3,0.06861,0.065946,TP,-0.00014918035563328959,2,37.87897880483893
STEEMUSDT,2026-02-18,50,50,11,0.06326,0.053036,TP,-0.024353965886816313,5,136.4647505216566
STEEMUSDT,2026-02-24,50,50,21,0.06171,0.05691,TIME_EXIT,-0.11702273390212284,33,-40.0395545146654
STEEMUSDT,2026-03-01,43,42,19,0.06277,0.05933,TIME_EXIT,-0.039556854631193246,34,14.446395328978893
STEEMUSDT,2026-03-08,50,50,13,0.05916,0.05959,TIME_EXIT,-0.022403885067613254,9,-30.472309678837053
STEEMUSDT,2026-03-14,47,50,11,0.06311,0.06159,TIME_EXIT,-0.017708227341150375,9,5.576703731579789
STEEMUSDT,2026-03-29,50,50,10,0.06009,0.057489,TP,-0.005054659785322017,1,37.43041260609085
STEEMUSDT,2026-05-23,50,50,10,0.0542,0.052022,TP,-0.00789345913284133,2,31.491042712177105
STORJUSDT,2026-02-16,50,50,22,0.1137,0.1056,TIME_EXIT,-0.014550778627968339,9,55.88932691292873
SUPERUSDT,2025-10-16,50,50,26,0.4691,0.43678999999999996,TP,-0.009850236955872947,11,58.22633520358146
SUPERUSDT,2025-11-22,50,50,58,0.2189,0.20432,TP,0.0,0,65.80575605299228
SUPERUSDT,2025-12-21,50,50,15,0.2374,0.22597,TP,-0.008991445421229993,9,38.355142615838226
SUPERUSDT,2026-01-25,50,50,8,0.2074,0.20056000000000002,TP,-0.004893473008678881,2,27.28627626808093
SUPERUSDT,2026-02-16,50,50,19,0.1345,0.1307,TIME_EXIT,-0.01570364345724907,9,11.74914464684013
SUPERUSDT,2026-03-26,50,50,17,0.1296,0.11592,TP,-0.033662828495370375,6,71.09272706018517
SUPERUSDT,2026-05-24,50,50,16,0.1307,0.1235,TIME_EXIT,-0.032687898454475894,9,21.600089303749133
TUSDT,2026-03-11,46,50,3,0.006885,0.006520499999999999,TP,-0.000541686332607117,1,51.59949013798116
TUSDT,2026-04-05,50,50,10,0.006388,0.0061396,TP,-0.004988053994990608,3,33.097356149029316
TUSDT,2026-05-23,37,50,5,0.005438,0.0052363999999999996,TP,5.000919455682237e-05,1,36.32246230231713
TAIKOUSDT,2025-07-18,50,50,10,0.5275,0.50077,TP,9.870142180094788e-05,2,49.97168720379132
TAIKOUSDT,2025-07-21,50,50,11,0.5449,0.5278,TP,0.0003013488713525417,6,30.883253808038177
